																																
0.11	6	 неефективність програмного коду, згенерованого CASE-засобами розроблення ПЗ;	1		0.37	0.18	0.25	0.16	0.32	0.29	0.36	0.48	0.54	0.45	0.339	3.75	1.42	1.98	0.95	1.92	1.74	3.57	3.82	5.42	4.03	0.353	СЕРЕДНЬОЮ					
0.14	7	 неможливість інтеграції CASE-засобів з іншими інструментальними засобами для підтримки процесу розроблення ПЗ;	1		0.42	0.19	0.38	0.23	0.31	0.40	0.34	0.29	0.34	0.40	0.330	4.17	1.52	3.07	1.36	1.85	2.40	3.38	2.35	3.45	3.59	0.335	СЕРЕДНЬОЮ					
0.12	8	 недостатня продуктивність баз(и) даних для підтримки процесу розроблення ПЗ;	1		0.40	0.26	0.14	0.20	0.37	0.48	0.23	0.59	0.32	0.69	0.369	4.00	2.12	1.14	1.20	2.23	2.88	2.32	4.69	3.19	6.24	0.371	СЕРЕДНЬОЮ					
0.15	9	 програмні компоненти, які використовують повторно в ПЗ, мають дефекти та обмежені функціональні можливості;	1		0.46	0.33	0.28	0.28	0.19	0.25	0.30	0.71	0.44	0.61	0.386	4.59	2.65	2.23	1.71	1.17	1.48	3.03	5.69	4.38	5.50	0.400	СЕРЕДНЬОЮ					
0.16	10	 швидкість виявлення дефектів у програмному коді є нижчою від раніше запланованих термінів;	1		0.53	0.16	0.20	0.27	0.29	0.17	0.32	0.70	0.19	0.31	0.316	5.33	1.27	1.64	1.64	1.76	1.01	3.17	5.63	1.94	2.81	0.324	СЕРЕДНЬОЮ					
0.11	11	 поява дефектних системних компонент, які використовують для розроблення ПЗ;	1		0.36	0.28	0.22	0.13	0.23	0.38	0.14	0.64	0.56	0.43	0.338	3.63	2.22	1.73	0.80	1.38	2.28	1.44	5.11	5.62	3.89	0.347	СЕРЕДНЬОЮ					
0.05	2	Множина настання вартісних ризикових подій	7		6	10	9	6	10	10	7	5	5	9	77	0.38	0.23	0.29	0.20	0.25	0.31	0.27	0.42	0.57	0.49	0.328	СЕРЕДНЬОЮ		0.3276			
0.11	1	 недо(пере)оцінювання витрат на реалізацію програмного проекту (надмірно низька вартість);	1		0.16	0.25	0.24	0.25	0.25	0.60	0.25	0.66	0.76	0.50	0.391	0.94	2.47	2.13	1.53	2.49	6.00	1.73	3.29	3.81	4.48	0.375	СЕРЕДНЬОЮ					
0.13	2	 фінансові ускладнення у компанії-замовника ПЗ;	1		0.27	0.26	0.47	0.21	0.38	0.39	0.29	0.16	0.41	0.42	0.326	1.61	2.61	4.21	1.26	3.85	3.87	2.02	0.82	2.05	3.79	0.339	СЕРЕДНЬОЮ					
0.12	3	 фінансові ускладнення у компанії-розробника ПЗ;	1		0.22	0.32	0.42	0.13	0.16	0.16	0.23	0.48	0.59	0.65	0.337	1.35	3.18	3.77	0.77	1.62	1.59	1.60	2.40	2.97	5.89	0.326	СЕРЕДНЬОЮ					
0.06	4	змен(збіль)шення бюджету програмного проекта з ініціативи компанії-замовника ПЗ під час його реалізації;	1		0.30	0.20	0.25	0.11	0.32	0.12	0.30	0.42	0.38	0.16	0.257	1.79	2.04	2.24	0.69	3.23	1.18	2.09	2.12	1.90	1.46	0.243	НИЗЬКОЮ					
0.13	5	 висока вартість виконання повторних робіт, необхідних для зміни вимог до ПЗ;	1		0.72	0.25	0.18	0.27	0.17	0.21	0.29	0.52	0.73	0.67	0.401	4.32	2.54	1.60	1.63	1.73	2.11	2.02	2.58	3.63	6.06	0.366	СЕРЕДНЬОЮ					
0.10	6	 реорганізація структурних підрозділів у компанії-замовника ПЗ;	1		0.60	0.11	0.21	0.16	0.27	0.22	0.34	0.32	0.82	0.45	0.349	3.58	1.14	1.88	0.95	2.67	2.15	2.37	1.60	4.11	4.08	0.319	СЕРЕДНЬОЮ					
0.14	7	 реорганізація команди виконавців у компанії-розробника ПЗ;	1		0.42	0.21	0.27	0.28	0.18	0.48	0.18	0.39	0.26	0.57	0.325	2.53	2.12	2.46	1.70	1.75	4.78	1.26	1.96	1.31	5.14	0.325	СЕРЕДНЬОЮ					
0.12	3	Множина настання планових ризикових подій	9		10	7	7	10	7	9	9	10	8	10	87	0.33	0.28	0.31	0.26	0.34	0.43	0.34	0.44	0.57	0.54	0.389	СЕРЕДНЬОЮ		0.3894			
0.19	1	 зміни графіка виконання робіт з боку замовника чи розробника ПЗ;	1		0.28	0.20	0.25	0.28	0.22	0.31	0.29	0.38	0.85	0.41	0.346	2.79	1.39	1.76	2.79	1.53	2.78	2.57	3.83	6.80	4.07	0.349	СЕРЕДНЬОЮ					
0.14	2	 порушення графіка виконання робіт з боку компанії-розробника ПЗ;	1		0.17	0.32	0.35	0.22	0.27	0.18	0.35	0.17	0.63	0.19	0.284	1.72	2.21	2.46	2.16	1.92	1.63	3.11	1.67	5.00	1.94	0.274	СЕРЕДНЬОЮ					
0.20	3	 потреба зміни користувацьких вимог до ПЗ з боку компанії-замовника ПЗ;	1		0.41	0.36	0.34	0.26	0.42	0.65	0.42	0.78	0.43	0.50	0.456	4.15	2.53	2.36	2.56	2.91	5.85	3.77	7.76	3.40	5.04	0.463	СЕРЕДНЬОЮ					
0.19	4	 потреба зміни функціональних вимог до ПЗ з боку компанії-розробника ПЗ;	1		0.74	0.34	0.45	0.34	0.22	0.20	0.37	0.64	0.36	0.70	0.434	7.41	2.35	3.13	3.40	1.52	1.83	3.34	6.39	2.84	6.97	0.450	СЕРЕДНЬОЮ					
0.17	5	 потреба виконання великої кількості повторних робіт, необхідних для зміни вимог до ПЗ;	1		0.33	0.34	0.35	0.31	0.42	0.20	0.33	0.32	0.72	0.67	0.397	3.25	2.39	2.47	3.05	2.92	1.78	2.93	3.15	5.79	6.70	0.396	СЕРЕДНЬОЮ					
0.13	6	недо(пере)оцінювання тривалості етапів реалізації програмного проекту з боку компанії-замовника ПЗ;	1		0.15	0.28	0.15	0.18	0.27	0.65	0.27	0.60	0.70	0.61	0.386	1.48	1.96	1.06	1.78	1.86	5.87	2.46	6.04	5.58	6.11	0.393	СЕРЕДНЬОЮ					
0.17	7	 остаточний розмір ПЗ значно перевищує (менший від) заплановані(их) його характеристики;	1		0.30	0.21	0.19	0.19	0.42	0.59	0.35	0.51	0.39	0.38	0.354	3.02	1.47	1.35	1.94	2.93	5.34	3.17	5.05	3.14	3.78	0.358	СЕРЕДНЬОЮ					
0.20	8	 поява на ринку аналогічного ПЗ до виходу замовленого;	1		0.25	0.31	0.29	0.34	0.42	0.38	0.32	0.41	0.68	0.63	0.403	2.45	2.20	2.01	3.41	2.95	3.45	2.91	4.13	5.43	6.26	0.405	СЕРЕДНЬОЮ					
0.16	9	 поява на ринку більш конкурентоздатного ПЗ;	1		0.37	0.17	0.46	0.19	0.40	0.70	0.40	0.20	0.41	0.81	0.413	3.70	1.21	3.24	1.90	2.78	6.34	3.64	2.02	3.28	8.14	0.417	СЕРЕДНЬОЮ					
0.08	4	Множина настання ризикових подій реалізації процесу управління програмним проектом	14		5	8	8	9	9	6	8	10	6	7	76	0.43	0.25	0.36	0.22	0.28	0.42	0.27	0.41	0.50	0.57	0.359	СЕРЕДНЬОЮ					
0.13	1	 низький моральний стан персоналу команди виконавців ПЗ;	1		0.53	0.31	0.48	0.28	0.34	0.23	0.13	0.35	0.30	0.60	0.355	2.67	2.44	3.84	2.51	3.02	1.41	1.05	3.46	1.78	4.23	0.348	СЕРЕДНЬОЮ					
0.15	2	 низька взаємодія між членами команди виконавців ПЗ;	1		0.53	0.26	0.25	0.19	0.33	0.58	0.24	0.34	0.31	0.85	0.388	2.65	2.07	2.01	1.75	2.99	3.49	1.92	3.36	1.85	5.95	0.369	СЕРЕДНЬОЮ					
0.15	3	 пасивність керівника (менеджера) програмного проекту;	1		0.50	0.18	0.33	0.29	0.37	0.52	0.37	0.63	0.54	0.16	0.389	2.49	1.48	2.63	2.64	3.29	3.10	2.93	6.31	3.25	1.13	0.385	СЕРЕДНЬОЮ					
0.12	4	 недостатня компетентність керівника (менеджера) програмного проекту;	1		0.59	0.24	0.25	0.25	0.30	0.60	0.21	0.26	0.62	0.73	0.406	2.97	1.91	2.01	2.22	2.74	3.62	1.70	2.57	3.72	5.11	0.376	СЕРЕДНЬОЮ					
0.08	5	 незадоволеність замовника результатами етапів реалізації програмного проекту;	1		0.68	0.24	0.33	0.11	0.16	0.47	0.31	0.22	0.80	0.48	0.379	3.42	1.90	2.64	0.95	1.43	2.81	2.48	2.23	4.79	3.38	0.342	СЕРЕДНЬОЮ					
0.18	6	 недостатня кількість фахівців у команді виконавців ПЗ з необхідним професійним рівнем;	1		0.35	0.36	0.38	0.25	0.41	0.40	0.33	0.47	0.39	0.57	0.391	1.75	2.90	3.01	2.22	3.66	2.43	2.66	4.72	2.31	4.02	0.391	СЕРЕДНЬОЮ					
0.16	7	 хвороба провідного виконавця в найкритичніший момент розроблення ПЗ;	1		0.33	0.32	0.50	0.18	0.16	0.36	0.21	0.37	0.34	0.44	0.321	1.67	2.57	3.97	1.63	1.48	2.13	1.65	3.69	2.02	3.11	0.315	СЕРЕДНЬОЮ					
0.15	8	 одночасна хвороба декількох виконавців підчас розроблення ПЗ;	1		0.52	0.20	0.39	0.17	0.27	0.39	0.28	0.57	0.30	0.37	0.346	2.58	1.61	3.09	1.55	2.44	2.35	2.24	5.66	1.81	2.62	0.341	СЕРЕДНЬОЮ					
0.12	9	 неможливість організації необхідного навчання персоналу команди виконавців ПЗ;	1		0.28	0.21	0.44	0.13	0.22	0.13	0.17	0.23	0.56	0.72	0.308	1.38	1.66	3.49	1.13	1.99	0.76	1.39	2.31	3.35	5.06	0.296	СЕРЕДНЬОЮ					
0.13	10	 зміна пріоритетів у процесі управління програмним проектом;	1		0.38	0.31	0.31	0.24	0.20	0.49	0.29	0.65	0.72	0.37	0.395	1.91	2.51	2.45	2.15	1.78	2.94	2.28	6.49	4.32	2.56	0.387	СЕРЕДНЬОЮ					
0.16	11	недо(пере)оцінювання необхідної кількості розробників (підрядників і субпідрядників) на етапах життєвого циклу розроблення ПЗ;	1		0.48	0.28	0.52	0.23	0.36	0.62	0.41	0.59	0.39	0.84	0.472	2.41	2.28	4.13	2.03	3.27	3.71	3.26	5.93	2.35	5.88	0.464	СЕРЕДНЬОЮ					
0.16	12	недостатнє (надмірне) документування результатів на етапах реалізації програмного проекту;	1		0.18	0.19	0.43	0.27	0.32	0.36	0.39	0.60	0.74	0.71	0.419	0.90	1.55	3.45	2.42	2.88	2.13	3.14	5.99	4.42	4.98	0.419	СЕРЕДНЬОЮ					
0.15	13	 нереалістичне прогнозування результатів на етапах реалізації програмного проекту;	1		0.42	0.24	0.25	0.21	0.30	0.25	0.21	0.29	0.60	0.72	0.350	2.09	1.95	1.98	1.90	2.70	1.51	1.70	2.92	3.58	5.05	0.334	СЕРЕДНЬОЮ					
0.13	14	 недостатній професійний рівень представників від компанії-замовника ПЗ.	1		0.29	0.15	0.17	0.27	0.21	0.44	0.24	0.16	0.43	0.35	0.271	1.43	1.22	1.40	2.41	1.93	2.66	1.93	1.58	2.58	2.42	0.257	СЕРЕДНЬОЮ					
			41																							0.368	СЕРЕДНЬОЮ					
			6	6																												
			11	7.36	8	9	7	10	8	10	10	9	10	9																		
			7	7.49	8	7	9	10	8	8	7	8	8	10																		
			9	5.96	7	6	7	7	10	7	5	10	8	10																		
			14	6.99	9	8	9	7	8	7	10	10	8	8																		
	Коефіцієнти вагомості кожного з експертів				Коефіцієнти вагомості кожного з експертів																											
		 для можливих збитків від ризику			1	2	3	4	5	6	7	8	9	10																		
	1	Множина настання технічних ризикових подій	11		8	9	7	10	8	10	10	9	10	9																		
	2	Множина настання вартісних ризикових подій	7		8	7	9	10	8	8	7	8	8	10																		
	3	Множина настання планових ризикових подій	9		7	6	7	7	10	7	5	10	8	10																		
	4	Множина настання ризикових подій реалізації процесу управління програмним проектом	14		9	8	9	7	8	7	10	10	8	8																		
			41																													
				11	7	9	14																									
				12.73	7.19	12.99	14.00	46.91																								
				0.27	0.15	0.28	0.30																									
			Розподіл вартості реалізації проекту за множинами ризиків																													
			1094.44	1	2	3	4																									
		Початкова вартість реалізації проекту	1430.0	390.0	220.0	400.0	420.0	тис. грн.																								
		Кінцева вартість реалізації проекту	1947.36	522.79	321.68	545.99	556.89	тис. грн.																								
	2.2. Визначення частки можливих збитків від прояву ризику															2.3. Визначення величини збитків від прояву ризику (математичне сподівання збитку)																
				0.2	0.49	0.20	0.36	0.35	0.54	0.32	0.67	0.34	0.36	0.56																		
					Оцінки експертів у діапазоні [0...1]											Оцінки експертів з урахуванням їхньої вагомості										Додаткова вартість, тис. грн.	Кінцева вартість, тис. грн.					
					1	2	3	4	5	6	7	8	9	10	S	1	2	3	4	5	6	7	8	9	10							
					Коефіцієнти вагомості кожного з експертів																											
0.11	1	Множина настання технічних ризикових подій	11	390.0	8	9	7	10	8	10	10	9	10	9	90	0.51	0.20	0.39	0.16	0.28	0.17	0.50	0.33	0.38	0.45	132.79	522.79			Рівень пріоритету ризику:		
0.12	1	 затримки у постачанні обладнання, необхідного для підтримки процесу розроблення ПЗ;	1	29.52	0.39	0.21	0.45	0.18	0.36	0.18	0.49	0.32	0.43	0.51	10.35	3.88	1.65	3.59	1.09	2.16	1.06	4.85	2.53	4.34	4.56	9.75	39.27			НИЗЬКИЙ		
0.16	2	 затримки у постачанні інструментальних засобів, необхідних для підтримки процесу розроблення ПЗ;	1	38.86	0.30	0.22	0.43	0.20	0.60	0.35	0.64	0.32	0.39	0.61	15.81	2.96	1.75	3.42	1.22	3.62	2.12	6.45	2.56	3.91	5.48	14.46	53.32			СЕРЕДНІЙ		
0.12	3	 небажання команди виконавців використовувати інструментальні засоби для підтримки процесу розроблення ПЗ;	1	30.38	0.23	0.13	0.16	0.24	0.19	0.18	0.60	0.44	0.37	0.60	9.57	2.26	1.05	1.26	1.47	1.16	1.09	6.01	3.55	3.69	5.41	9.09	39.47			НИЗЬКИЙ		
0.10	4	 формування запитів на більш потужні інструментальні засоби розроблення ПЗ;	1	25.70	0.16	0.22	0.38	0.22	0.54	0.14	0.11	0.34	0.26	0.27	6.81	1.58	1.77	3.02	1.34	3.26	0.81	1.14	2.73	2.64	2.47	5.92	31.63			НИЗЬКИЙ		
0.17	5	 відмова команди виконавців від CASE-засобів розроблення ПЗ;	1	42.00	0.48	0.37	0.22	0.42	0.33	0.43	0.34	0.43	0.33	0.45	16.03	4.85	2.93	1.79	2.55	1.97	2.61	3.43	3.43	3.30	4.08	14.43	56.43			СЕРЕДНІЙ		
0.11	6	 неефективність програмного коду, згенерованого CASE-засобами розроблення ПЗ;	1	28.01	0.24	0.12	0.44	0.15	0.27	0.36	0.17	0.40	0.29	0.47	8.16	2.36	0.93	3.55	0.93	1.61	2.14	1.71	3.21	2.94	4.24	7.35	35.36			НИЗЬКИЙ		
0.18	7	 неможливість інтеграції CASE-засобів з іншими інструментальними засобами для підтримки процесу розроблення ПЗ;	1	43.19	0.50	0.20	0.37	0.50	0.51	0.33	0.78	0.41	0.52	0.28	19.01	4.96	1.58	2.99	3.02	3.03	1.98	7.79	3.30	5.21	2.53	17.47	60.66			ВИСОКИЙ		
0.17	8	 недостатня продуктивність баз(и) даних для підтримки процесу розроблення ПЗ;	1	41.62	0.51	0.29	0.23	0.27	0.43	0.48	0.76	0.41	0.49	0.58	18.46	5.11	2.31	1.83	1.62	2.60	2.86	7.56	3.24	4.88	5.18	17.21	58.83			ВИСОКИЙ		
0.17	9	 програмні компоненти, які використовують повторно в ПЗ, мають дефекти та обмежені функціональні можливості;	1	42.16	0.64	0.22	0.42	0.30	0.33	0.24	0.82	0.34	0.48	0.46	17.95	6.45	1.79	3.38	1.78	1.97	1.43	8.20	2.73	4.82	4.15	17.19	59.34			ВИСОКИЙ		
0.11	10	 швидкість виявлення дефектів у програмному коді є нижчою від раніше запланованих термінів;	1	26.46	0.46	0.20	0.30	0.24	0.30	0.29	0.59	0.42	0.44	0.52	9.91	4.56	1.58	2.43	1.44	1.77	1.72	5.87	3.35	4.39	4.67	9.35	35.81	Max=	17.47	НИЗЬКИЙ		
0.17	11	 поява дефектних системних компонент, які використовують для розроблення ПЗ;	1	42.11	0.57	0.32	0.33	0.24	0.23	0.18	0.18	0.26	0.21	0.21	11.45	5.66	2.55	2.66	1.44	1.36	1.08	1.84	2.05	2.07	1.88	10.57	52.67	Min=	5.92	СЕРЕДНІЙ		
0.07	2	Множина настання вартісних ризикових подій	7	220.0	8	7	9	10	8	8	7	8	8	10	83	0.22	0.27	0.26	0.19	0.44	0.36	0.53	0.18	0.15	0.39	101.68	321.68			виходить за межі		
0.14	1	 недо(пере)оцінювання витрат на реалізацію програмного проекту (надмірно низька вартість);	1	42.01	0.31	0.16	0.50	0.49	0.52	0.29	0.79	0.27	0.16	0.57	17.06	1.85	1.60	4.48	2.91	5.24	2.89	5.56	1.34	0.82	5.13	16.10	58.11			ВИСОКИЙ		
0.07	2	 фінансові ускладнення у компанії-замовника ПЗ;	1	55.30	0.14	0.21	0.11	0.39	0.53	0.33	0.55	0.30	0.11	0.57	17.89	0.83	2.08	0.98	2.32	5.30	3.30	3.86	1.48	0.56	5.15	17.23	72.53			ВИСОКИЙ		
0.09	3	 фінансові ускладнення у компанії-розробника ПЗ;	1	43.23	0.47	0.24	0.16	0.38	0.52	0.22	0.70	0.28	0.40	0.58	17.06	2.80	2.41	1.40	2.30	5.18	2.19	4.90	1.39	2.01	5.26	15.53	58.77			ВИСОКИЙ		
0.09	4	змен(збіль)шення бюджету програмного проекта з ініціативи компанії-замовника ПЗ під час його реалізації;	1	36.57	0.35	0.15	0.17	0.23	0.15	0.32	0.17	0.18	0.21	0.53	9.01	2.08	1.54	1.52	1.40	1.49	3.20	1.22	0.90	1.04	4.79	8.44	45.02			НИЗЬКИЙ		
0.09	5	 висока вартість виконання повторних робіт, необхідних для зміни вимог до ПЗ;	1	59.77	0.31	0.16	0.44	0.24	0.52	0.28	0.54	0.41	0.15	0.11	18.91	1.85	1.61	3.96	1.43	5.15	2.83	3.79	2.07	0.76	1.00	17.61	77.37			ВИСОКИЙ		
0.06	6	 реорганізація структурних підрозділів у компанії-замовника ПЗ;	1	39.86	0.08	0.20	0.11	0.14	0.08	0.34	0.25	0.20	0.40	0.19	7.92	0.50	1.98	1.00	0.84	0.85	3.37	1.77	0.99	1.98	1.69	7.18	47.04	Max=	19.58	НИЗЬКИЙ		
0.08	7	 реорганізація команди виконавців у компанії-розробника ПЗ;	1	61.46	0.41	0.21	0.35	0.39	0.16	0.25	0.70	0.39	0.29	0.44	22.07	2.44	2.11	3.19	2.31	1.58	2.55	4.91	1.94	1.45	3.95	19.58	81.04	Min=	7.18	ВИСОКИЙ		
0.09	3	Множина настання планових ризикових подій	9	400.00	7	6	7	7	10	7	5	10	8	10	77	0.50	0.31	0.35	0.39	0.31	0.47	1.06	0.24	0.38	0.50	145.99	545.99			виходить за межі		
0.18	1	 зміни графіка виконання робіт з боку замовника чи розробника ПЗ;	1	31.50	0.45	0.27	0.37	0.21	0.57	0.33	0.82	0.30	0.50	0.20	12.66	4.49	1.90	2.59	2.10	4.02	2.95	7.38	2.98	4.01	1.97	14.07	45.57			СЕРЕДНІЙ		
0.16	2	 порушення графіка виконання робіт з боку компанії-розробника ПЗ;	1	41.47	0.32	0.22	0.40	0.36	0.55	0.43	0.73	0.17	0.31	0.69	17.38	3.25	1.51	2.77	3.57	3.88	3.89	6.61	1.74	2.46	6.94	19.72	61.19			ВИСОКИЙ		
0.12	3	 потреба зміни користувацьких вимог до ПЗ з боку компанії-замовника ПЗ;	1	32.42	0.15	0.27	0.27	0.16	0.50	0.22	0.35	0.12	0.31	0.38	8.90	1.53	1.89	1.92	1.65	3.50	2.02	3.12	1.23	2.48	3.77	9.73	42.15			НИЗЬКИЙ		
0.19	4	 потреба зміни функціональних вимог до ПЗ з боку компанії-розробника ПЗ;	1	27.43	0.60	0.25	0.39	0.26	0.52	0.48	0.84	0.34	0.40	0.19	11.73	5.99	1.76	2.76	2.58	3.62	4.31	7.58	3.44	3.19	1.95	13.24	40.67			СЕРЕДНІЙ		
0.22	5	 потреба виконання великої кількості повторних робіт, необхідних для зміни вимог до ПЗ;	1	44.82	0.26	0.33	0.30	0.27	0.52	0.53	0.25	0.24	0.22	0.63	15.84	2.57	2.29	2.09	2.65	3.62	4.73	2.25	2.39	1.79	6.32	17.86	62.68			ВИСОКИЙ		
0.16	6	недо(пере)оцінювання тривалості етапів реалізації програмного проекту з боку компанії-замовника ПЗ;	1	29.89	0.21	0.28	0.24	0.29	0.17	0.47	0.65	0.31	0.48	0.72	11.41	2.12	1.98	1.69	2.88	1.17	4.19	5.86	3.06	3.84	7.23	13.21	43.09			СЕРЕДНІЙ		
0.17	7	 остаточний розмір ПЗ значно перевищує (менший від) заплановані(их) його характеристики;	1	46.09	0.22	0.26	0.46	0.33	0.18	0.41	0.60	0.23	0.50	0.60	17.50	2.20	1.84	3.22	3.33	1.25	3.71	5.43	2.28	3.96	6.04	19.91	66.00			ВИСОКИЙ		
0.20	8	 поява на ринку аналогічного ПЗ до виходу замовленого;	1	44.42	0.39	0.28	0.47	0.42	0.42	0.24	0.42	0.24	0.42	0.44	16.63	3.93	1.97	3.27	4.22	2.91	2.14	3.82	2.43	3.39	4.38	18.72	63.13	Max=	19.91	ВИСОКИЙ		
0.14	9	 поява на ринку більш конкурентоздатного ПЗ;	1	44.98	0.54	0.23	0.28	0.16	0.61	0.20	0.63	0.23	0.29	0.65	17.18	5.40	1.62	1.94	1.59	4.25	1.82	5.63	2.35	2.34	6.51	19.53	64.52	Min=	9.73	ВИСОКИЙ		
0.14	4	Множина настання ризикових подій реалізації процесу управління програмним проектом	14	420.0	9	8	9	7	8	7	10	10	8	8	84	0.24	0.23	0.24	0.40	0.48	0.21	0.39	0.33	0.24	0.33	136.89	556.89			виходить за межі		
0.14	1	 низький моральний стан персоналу команди виконавців ПЗ;	1	28.72	0.59	0.32	0.35	0.28	0.66	0.39	0.72	0.44	0.25	0.41	12.68	2.94	2.58	2.81	2.51	5.96	2.35	5.76	4.40	1.52	2.86	11.52	40.24			СЕРЕДНІЙ		
0.08	2	 низька взаємодія між членами команди виконавців ПЗ;	1	37.81	0.32	0.26	0.14	0.21	0.46	0.09	0.37	0.37	0.19	0.57	11.22	1.62	2.07	1.15	1.85	4.10	0.56	2.94	3.68	1.11	3.97	10.37	48.18			СЕРЕДНІЙ		
0.16	3	 пасивність керівника (менеджера) програмного проекту;	1	29.56	0.54	0.17	0.16	0.46	0.25	0.20	0.82	0.21	0.52	0.67	11.82	2.70	1.36	1.31	4.10	2.29	1.20	6.54	2.10	3.09	4.71	10.34	39.90			СЕРЕДНІЙ		
0.09	4	 недостатня компетентність керівника (менеджера) програмного проекту;	1	25.01	0.28	0.13	0.23	0.14	0.60	0.21	0.75	0.34	0.23	0.27	7.98	1.39	1.05	1.85	1.30	5.41	1.28	5.96	3.44	1.40	1.88	7.43	32.44			НИЗЬКИЙ		
0.10	5	 незадоволеність замовника результатами етапів реалізації програмного проекту;	1	40.86	0.22	0.18	0.42	0.43	0.15	0.17	0.13	0.37	0.45	0.13	10.80	1.12	1.44	3.39	3.88	1.36	0.99	1.00	3.68	2.67	0.91	9.95	50.81			СЕРЕДНІЙ		
0.16	6	 недостатня кількість фахівців у команді виконавців ПЗ з необхідним професійним рівнем;	1	27.25	0.57	0.16	0.31	0.32	0.59	0.36	0.50	0.20	0.22	0.56	10.35	2.84	1.32	2.45	2.92	5.32	2.14	4.03	2.03	1.34	3.90	9.18	36.43			НИЗЬКИЙ		
0.10	7	 хвороба провідного виконавця в найкритичніший момент розроблення ПЗ;	1	42.02	0.13	0.21	0.44	0.12	0.24	0.13	0.71	0.40	0.35	0.23	12.44	0.66	1.70	3.50	1.10	2.14	0.78	5.65	4.03	2.09	1.62	11.64	53.66			СЕРЕДНІЙ		
0.08	8	 одночасна хвороба декількох виконавців підчас розроблення ПЗ;	1	40.50	0.52	0.14	0.42	0.35	0.25	0.39	0.50	0.29	0.32	0.63	15.48	2.60	1.15	3.36	3.19	2.24	2.36	4.01	2.93	1.92	4.40	13.57	54.07			СЕРЕДНІЙ		
0.14	9	 неможливість організації необхідного навчання персоналу команди виконавців ПЗ;	1	41.02	0.58	0.26	0.26	0.32	0.46	0.25	0.19	0.32	0.20	0.24	12.66	2.89	2.07	2.11	2.84	4.15	1.50	1.56	3.18	1.20	1.71	11.34	52.35			СЕРЕДНІЙ		
0.11	10	 зміна пріоритетів у процесі управління програмним проектом;	1	25.74	0.50	0.23	0.20	0.16	0.46	0.36	0.30	0.21	0.43	0.46	8.53	2.50	1.83	1.57	1.48	4.12	2.14	2.41	2.14	2.58	3.25	7.36	33.10			НИЗЬКИЙ		
